,기업코드,기업명,수익성,효율성,퀄리티,변동성,종목분류지표,index_set,index_num,news_date,news_summary
171,11780,금호석유,p,e,Q,v,peQv,[94],94,2024-07-26 08:00:21,"뉴스 풀이 : 
미국 대선이 다가오는 가운데, 공화당 대선 후보인 도널드 트럼프 전 대통령이 '엔저 현상'을 비판하자 엔화 약세가 점차 완화되고 있습니다. 이에 엔화 반등에 대한 수혜를 기대할 수 있는 상장지수펀드(ETF)에 관심이 쏠리고 있습니다.

최근 한 달 동안 개인 투자자들은 미국 30년 국채에 투자하며 저평가된 엔화 상승에 베팅할 수 있는 'RISE 미국30년국채엔화노출(합성H)'을 129억원어치 순매수했습니다.

이는 트럼프 전 대통령이 엔화 약세를 문제삼자 엔화 가치가 상승세로 돌아선 영향으로 풀이됩니다.

그동안 '슈퍼 엔저'가 지속되면서 100엔당 850원대까지 추락했지만 해당 발언 이후 점차 오름세를 보이며 반등하기 시작했습니다. 전일 장중에는 911.13원까지 치솟았는데 이는 지난 2월 1일(912.82원) 이후 가장 높은 수준입니다.

업계에서는 각종 호재에 힘입어 엔화 강세가 일시적인 현상이 아닌 중장기적으로 이어질 것이란 전망이 우세합니다.

용어 설명 : 
*엔저 : 엔화의 가치가 떨어지는 현상
*상장지수펀드(ETF) : 특정 지수의 수익률을 추적하는 인덱스 펀드를 거래소에 상장시켜 주식처럼 거래할 수 있도록 한 펀드
*슈퍼 엔저 : 장기간 지속되는 엔화의 가치 하락 현상"
174,73240,금호타이어,p,e,q,v,peqv,[543],543,2024-07-23 08:49:03,"뉴스 풀이: 
다올투자증권은 타이어 업종의 2분기 실적이 예상보다 높을 것으로 예상하고, 현재 타이어 업종의 주가가 저평가되어 있어 지금이 주식을 싸게 살 수 있는 기회라고 말했어요. 
한국타이어, 금호타이어, 넥센타이어 3사의 올해 수익률은 5배 미만으로 거래되고 있어요. 이는 기업의 가치에 비해 주가가 매우 낮다는 것을 의미해요.

용어 설명 : 
*평균판매단가(ASP): 상품이나 서비스의 평균 가격
*시설투자(캐펙스·CAPEX): 기업이 미래의 이윤을 창출하기 위해 공장을 짓거나 기계설비를 구입하는 등의 투자활동
*주가수익률(P/E): 주가를 주당순이익으로 나눈 값으로, 기업의 수익성에 비해 주가가 얼마나 높은지 나타내는 지표
*주당순이익(EPS): 기업이 벌어들인 순이익을 총 주식수로 나눈 값으로, 1주당 이익을 얼마나 창출했는지 나타내는 지표"
175,270,기아,p,e,Q,v,peQv,"[26, 49, 64, 89, 128, 133, 151, 169, 189, 238, 304, 311, 373, 426, 428, 448, 465, 468, 491, 512, 515, 517, 526, 535, 550, 581, 594, 621, 635, 665, 668, 684, 736, 743, 759, 791, 829, 854, 904]",621,2024-07-22 16:30:16,"뉴스 풀이: 
기관 투자자들이 금융주와 자동차주에 대해 서로 다른 투자 전략을 취하고 있습니다. 금융주는 밸류업 정책의 대표적인 수혜주로 여겨지며 기관 투자자들은 이를 적극적으로 매수하고 있습니다. 반면, 자동차주는 미국 대선에서 도널드 트럼프 전 대통령의 당선 가능성이 높아지면서 기관 투자자들이 매도하고 있습니다. 이는 트럼프 대통령의 관세 인상 정책으로 인해 자동차 산업이 타격을 받을 가능성이 있기 때문입니다.

용어 설명 :
*밸류업: 기업의 가치를 높이는 것을 의미합니다.
*금융주: 금융 회사들의 주식을 의미합니다.
*자동차주: 자동차 회사들의 주식을 의미합니다.
*관세: 다른 나라에서 수입하는 물건에 부과하는 세금을 의미합니다.

기사에서 말하고자 하는 증권 또는 주식의 긍정/부정/중립: 
기관 투자자들은 금융주에 대해서는 긍정적인 시각을 유지하고 있지만, 자동차주에 대해서는 부정적인 시각을 가지고 있습니다. 이는 미국 대선 결과와 관세 인상 정책 등에 대한 우려 때문입니다."
180,3920,남양유업,P,E,Q,V,PEQV,[17],17,2024-07-26 16:16:07,"뉴스 풀이: 
문장1. 국내 주식 시장에서 1주당 가격이 100만원이 넘는 '황제주'가 10개월째 나타나지 않고 있습니다.
문장2. 삼성바이오로직스의 주가가 빠르게 상승하면서 다시 황제주가 될 가능성이 높아지고 있습니다.
문장3. 삼성바이오로직스는 올해 2분기에 좋은 실적을 거두었으며, 이는 투자자들의 관심을 끌었습니다.
문장4. 과거에는 LG생활건강, 오뚜기, 남양유업, NC소프트 등이 황제주에 올랐지만, 현재는 업황 부진으로 주가가 하락했습니다.
문장5. 증권사들은 삼성바이오로직스가 다시 황제주가 될 가능성이 높다고 전망하고 있습니다.

용어 설명 : 
*황제주 : 주식 시장에서 1주당 가격이 매우 높은 주식을 말합니다.
*유가증권시장 : 국내 주식 시장 중 하나로, 대형 기업들의 주식이 거래됩니다.
*목표주가 : 증권사가 주식의 가격이 상승할 것으로 예상하고 제시하는 가격입니다.
*마일스톤 : 신약 개발 과정에서 중요한 단계를 성공적으로 완료했을 때 받는 보상금입니다.

기사에서 말하고자 하는 증권 또는 주식의 긍정/부정/중립 : 
긍정 - 삼성바이오로직스가 다시 황제주가 될 가능성이 높다고 전망하고 있으며, 대규모 수주에 힘입어 공장 가동률이 오름세이고, 자회사 삼성바이오에피스의 바이오 복제약 사업도 탄력을 받고 있어 이익 증가를 전망하고 있습니다."
183,2350,넥센타이어,p,e,q,V,peqV,[543],543,2024-07-23 08:49:03,"뉴스 풀이: 
다올투자증권은 타이어 업종의 2분기 실적이 예상보다 높을 것으로 예상하고, 현재 타이어 업종의 주가가 저평가되어 있어 지금이 주식을 싸게 살 수 있는 기회라고 말했어요. 
한국타이어, 금호타이어, 넥센타이어 3사의 올해 수익률은 5배 미만으로 거래되고 있어요. 이는 기업의 가치에 비해 주가가 매우 낮다는 것을 의미해요.

용어 설명 : 
*평균판매단가(ASP): 상품이나 서비스의 평균 가격
*시설투자(캐펙스·CAPEX): 기업이 미래의 이윤을 창출하기 위해 공장을 짓거나 기계설비를 구입하는 등의 투자활동
*주가수익률(P/E): 주가를 주당순이익으로 나눈 값으로, 기업의 수익성에 비해 주가가 얼마나 높은지 나타내는 지표
*주당순이익(EPS): 기업이 벌어들인 순이익을 총 주식수로 나눈 값으로, 1주당 이익을 얼마나 창출했는지 나타내는 지표"
184,251270,넷마블,P,e,Q,v,PeQv,"[0, 94, 128, 169, 427, 453, 540, 834]",94,2024-07-26 08:00:21,"뉴스 풀이 : 
미국 대선이 다가오는 가운데, 공화당 대선 후보인 도널드 트럼프 전 대통령이 '엔저 현상'을 비판하자 엔화 약세가 점차 완화되고 있습니다. 이에 엔화 반등에 대한 수혜를 기대할 수 있는 상장지수펀드(ETF)에 관심이 쏠리고 있습니다.

최근 한 달 동안 개인 투자자들은 미국 30년 국채에 투자하며 저평가된 엔화 상승에 베팅할 수 있는 'RISE 미국30년국채엔화노출(합성H)'을 129억원어치 순매수했습니다.

이는 트럼프 전 대통령이 엔화 약세를 문제삼자 엔화 가치가 상승세로 돌아선 영향으로 풀이됩니다.

그동안 '슈퍼 엔저'가 지속되면서 100엔당 850원대까지 추락했지만 해당 발언 이후 점차 오름세를 보이며 반등하기 시작했습니다. 전일 장중에는 911.13원까지 치솟았는데 이는 지난 2월 1일(912.82원) 이후 가장 높은 수준입니다.

업계에서는 각종 호재에 힘입어 엔화 강세가 일시적인 현상이 아닌 중장기적으로 이어질 것이란 전망이 우세합니다.

용어 설명 : 
*엔저 : 엔화의 가치가 떨어지는 현상
*상장지수펀드(ETF) : 특정 지수의 수익률을 추적하는 인덱스 펀드를 거래소에 상장시켜 주식처럼 거래할 수 있도록 한 펀드
*슈퍼 엔저 : 장기간 지속되는 엔화의 가치 하락 현상"
187,6280,녹십자,P,E,Q,V,PEQV,[169],169,2024-07-25 15:57:12,"뉴스 풀이 : 
최근 원/달러 환율은 1,380원대 중후반대에서 방향성을 보이지 않고 있습니다. 연방기금금리 선물시장에 반영된 연준의 9월 기준금리 인하 기대는 90%를 넘긴 상황입니다. 이번 주에는 미국 2/4분기 실질 GDP 성장률과 PCE 물가가 발표될 예정입니다. 미국 GDP 성장률은 지난 분기보다 높아질 것으로 예상되며, PCE 물가는 5월보다 낮아질 것으로 보입니다. 이렇게 성장률이 나쁘지 않고 물가가 안정적으로 내려오는 것이 확인되면, 연준의 기준금리 인하 기대는 계속 지지 받을 것입니다. 

용어 설명 :
*연방기금금리 선물시장 : 연방기금금리의 미래 값을 예측하여 거래하는 시장
*OIS선도금리 : Overnight Index Swap의 약자로, 하루짜리 초단기 대출금리. 금융시장의 유동성을 파악하는 중요한 지표
*PCE 물가 : 개인소비지출 물가. 미국의 물가상승률을 나타내는 지표 중 하나"
189,4370,농심,p,e,Q,V,peQV,"[94, 350, 351, 643, 796]",796,2024-07-25 11:35:10,"도널드 트럼프 전 대통령과 카멀라 해리스 부통령의 미국 대선 경쟁이 시작되면서, 국제 정세와 세계 증시가 영향을 받고 있습니다. 트럼프 전 대통령이 재선에 성공할 경우, 관세 인상과 보호무역주의 강화로 국내 기업들이 영향을 받을 수 있습니다.

이런 상황에서 전문가들은 북미 해외직접투자(FDI) 비중이 높은 국내 상장사에 투자하는 것이 리스크를 줄일 수 있는 방법이라고 조언합니다. 미국 매출 비중이 높은 전력장비주들이 급등세를 보이고 있으며, 트럼프 전 대통령이 재집권하면 미국 직접투자 비중이 높은 기업들의 주목도가 더 커질 수 있습니다.

트럼프의 보호무역 강화를 피하기 위해서는 미국 내 직접투자가 많은 산업에 관심을 기울일 필요가 있으며, 유망 업종으로는 기계, 건설, 제약·바이오, 음식료, 정유, 건설 등이 꼽힙니다. 이들 업종은 미국 내 직접투자가 활발하고 수요도 견조합니다.

따라서, 미국 대선 결과에 따라 국내 기업들의 수출과 투자에 영향이 있을 수 있으므로, 관련 기업들의 동향을 주시하고 투자에 참고하는 것이 좋습니다."
194,6370,대구백화점,P,e,q,V,PeqV,[404],404,2024-07-24 06:01:13,"뉴스 풀이: 
대구백화점은 1969년에 문을 연 대구의 향토 백화점으로, 대구 시민들의 만남의 장소였습니다. 하지만 롯데, 신세계, 현대 등 대형 백화점에 밀려 2021년에 결국 문을 닫았습니다. 그 후 적자 행진이 이어지면서 회사의 현금과 자산을 갉아먹고 있습니다. 오너 일가는 회사 매각을 추진 중이지만 지지부진한 상황입니다.

용어 설명 : 
*자산주: 자산이 많은 기업의 주식을 말합니다. 자산이 많을수록 기업의 안정성이 높아지기 때문에, 자산주는 투자자들에게 인기가 있습니다.
*블록딜: 주식 시장에서 대량의 주식을 거래할 때, 매도자와 매수자 간의 가격과 수량을 미리 협의하여 거래하는 방식입니다.
*전략적 투자자(SI): 기업의 경영권을 확보하거나, 경영에 참여하기 위해 주식을 매입하는 투자자를 말합니다."
196,353200,대덕전자,P,e,Q,v,PeQv,[105],105,2024-07-26 06:00:00,"뉴스 풀이: 
문장1. 외국계 증권사 BofA(뱅크오브아메리카)가 한국의 AI(인공지능) 산업이 높은 잠재력을 가지고 있다고 평가했어요. 
문장2. 한국이 AI분야에서 선진국과 비교해도 높은 경쟁력을 가진 이유는 오랜시간 R&D(연구개발)에 공을 들여왔기 때문이라고 해요.
문장3. 한국은 OECD(경제협력개발기구) 국가 중에서도 GDP(국내총생산) 대비 R&D지출이 가장 높은 국가이며, AI관련 특허도 많이 보유하고 있어요.
문장4. 최근 한국 정부가 AI 경쟁력 강화를 위해 노력하고 있다는 점도 긍정적으로 평가했어요.
문장5. 국내 증권사들은 하반기에도 AI가 시장을 주도할 것으로 전망하며, 소프트웨어 부문에서는 더존비즈온, 한글과컴퓨터 등을 AI 최선호주로 추천했어요.

용어 설명 : 
*R&D(연구개발): 기업에서 제품이나 기술을 개발하기 위해 연구하는 활동을 말해요.
*GDP(국내총생산): 한 나라 안에서 경제 활동을 통해 생산된 모든 재화와 서비스의 시장 가치를 합한 것을 말해요.
*OECD(경제협력개발기구): 세계 경제 발전과 무역 확대를 위해 만들어진 국제 기구로, 현재 38개국이 가입되어 있어요.
*B2B(기업간거래): 기업과 기업이 제품이나 서비스를 사고 파는 것을 말해요.
*B2C(기업과 고객간 거래): 기업이 제품이나 서비스를 소비자에게 직접 판매하는 것을 말해요.
*CAPA(생산능력): 기업이 일정한 시간 안에 생산할 수 있는 최대 수량을 말해요.

해당 기사에서는 한국의 AI 산업의 미래를 긍정적으로 평가하고 있으며, AI 관련 최선호주를 추천하고 있어요."
207,47040,대우건설,p,e,q,V,peqV,"[427, 577, 605, 686, 745, 807]",686,2024-07-22 08:53:06,"뉴스 풀이: 
한국수력원자력을 중심으로 한 '팀코리아'가 체코의 새로운 원자력 발전소 2기를 건설하는 사업의 우선 협상 대상자로 선정되면서, 관련된 주식들이 크게 올랐습니다. 하지만 빠르게 올랐던 주가가 다시 내려가면서 투자자들이 실망하고 있습니다.

용어 설명 : 
*우선 협상 대상자: 경쟁 입찰에서 가장 유리한 조건을 제시한 기업이나 단체
*원전: 원자력 발전소, 원자핵 분열 반응을 이용하여 전기를 생산하는 발전소

기사에서 말하고자 하는 증권 또는 주식의 긍정/부정/중립 : 
원전 관련 주식들이 크게 올랐지만, 빠르게 다시 내려가면서 투자자들이 실망하고 있습니다. 하지만 증권가에서는 여전히 원전주에 대한 기대감을 가지고 있으며, 앞으로 원전 건설의 중요한 요소인 금융 조달 가능성에서 K-원전의 경쟁력이 높아질 것으로 예상하고 있습니다."
209,69620,대웅제약,p,E,Q,V,pEQV,"[94, 169, 311]",169,2024-07-25 15:57:12,"뉴스 풀이 : 
최근 원/달러 환율은 1,380원대 중후반대에서 방향성을 보이지 않고 있습니다. 연방기금금리 선물시장에 반영된 연준의 9월 기준금리 인하 기대는 90%를 넘긴 상황입니다. 이번 주에는 미국 2/4분기 실질 GDP 성장률과 PCE 물가가 발표될 예정입니다. 미국 GDP 성장률은 지난 분기보다 높아질 것으로 예상되며, PCE 물가는 5월보다 낮아질 것으로 보입니다. 이렇게 성장률이 나쁘지 않고 물가가 안정적으로 내려오는 것이 확인되면, 연준의 기준금리 인하 기대는 계속 지지 받을 것입니다. 

용어 설명 :
*연방기금금리 선물시장 : 연방기금금리의 미래 값을 예측하여 거래하는 시장
*OIS선도금리 : Overnight Index Swap의 약자로, 하루짜리 초단기 대출금리. 금융시장의 유동성을 파악하는 중요한 지표
*PCE 물가 : 개인소비지출 물가. 미국의 물가상승률을 나타내는 지표 중 하나"
211,6340,대원전선,P,e,q,V,PeqV,[456],456,2024-07-23 17:34:14,"뉴스 풀이 : 
문장1. 전력장비와 전선을 만드는 회사들의 주식 가격이 오르고 있습니다. 
문장2. 이는 인공지능 산업과 데이터 센터의 전력 수요가 크게 증가하면서 이들 회사의 실적이 좋아졌기 때문입니다.
문장3. HD현대일렉트릭은 2분기에 매출과 영업이익이 크게 증가하여 깜짝 실적을 발표했습니다.
문장4. 이에 따라 다른 전력 인프라 기업들도 주가가 상승했습니다.
문장5. 앞으로 인공지능 서비스가 더 확산되면 전력 인프라 수요가 계속 증가할 것으로 예상됩니다.

용어 설명 : 
*어닝 서프라이즈 : 기업이 시장의 예상치를 훨씬 초과하는 실적을 발표하는 것
*컨센서스 : 시장 참여자들의 의견을 종합한 예측치
*공급자 우위 시장 : 수요에 비해 공급이 부족하여 판매자가 유리한 시장"
212,3220,대원제약,p,e,Q,V,peQV,[169],169,2024-07-25 15:57:12,"뉴스 풀이 : 
최근 원/달러 환율은 1,380원대 중후반대에서 방향성을 보이지 않고 있습니다. 연방기금금리 선물시장에 반영된 연준의 9월 기준금리 인하 기대는 90%를 넘긴 상황입니다. 이번 주에는 미국 2/4분기 실질 GDP 성장률과 PCE 물가가 발표될 예정입니다. 미국 GDP 성장률은 지난 분기보다 높아질 것으로 예상되며, PCE 물가는 5월보다 낮아질 것으로 보입니다. 이렇게 성장률이 나쁘지 않고 물가가 안정적으로 내려오는 것이 확인되면, 연준의 기준금리 인하 기대는 계속 지지 받을 것입니다. 

용어 설명 :
*연방기금금리 선물시장 : 연방기금금리의 미래 값을 예측하여 거래하는 시장
*OIS선도금리 : Overnight Index Swap의 약자로, 하루짜리 초단기 대출금리. 금융시장의 유동성을 파악하는 중요한 지표
*PCE 물가 : 개인소비지출 물가. 미국의 물가상승률을 나타내는 지표 중 하나"
220,1440,대한전선,P,e,Q,v,PeQv,"[323, 351, 796]",796,2024-07-25 11:35:10,"도널드 트럼프 전 대통령과 카멀라 해리스 부통령의 미국 대선 경쟁이 시작되면서, 국제 정세와 세계 증시가 영향을 받고 있습니다. 트럼프 전 대통령이 재선에 성공할 경우, 관세 인상과 보호무역주의 강화로 국내 기업들이 영향을 받을 수 있습니다.

이런 상황에서 전문가들은 북미 해외직접투자(FDI) 비중이 높은 국내 상장사에 투자하는 것이 리스크를 줄일 수 있는 방법이라고 조언합니다. 미국 매출 비중이 높은 전력장비주들이 급등세를 보이고 있으며, 트럼프 전 대통령이 재집권하면 미국 직접투자 비중이 높은 기업들의 주목도가 더 커질 수 있습니다.

트럼프의 보호무역 강화를 피하기 위해서는 미국 내 직접투자가 많은 산업에 관심을 기울일 필요가 있으며, 유망 업종으로는 기계, 건설, 제약·바이오, 음식료, 정유, 건설 등이 꼽힙니다. 이들 업종은 미국 내 직접투자가 활발하고 수요도 견조합니다.

따라서, 미국 대선 결과에 따라 국내 기업들의 수출과 투자에 영향이 있을 수 있으므로, 관련 기업들의 동향을 주시하고 투자에 참고하는 것이 좋습니다."
224,3490,대한항공,p,e,q,V,peqV,[128],128,2024-07-25 18:25:09,"뉴스 풀이 : 
최근 엔화와 달러의 가치가 상승하면서 원화의 가치가 하락하고 있습니다. 25일 엔화 가치가 급등하면서 원·엔 재정환율은 장중 911원까지 올랐고, 원·달러 환율도 상승하며 원화 약세를 부추겼습니다. 이는 일본과 미국의 통화정책 전환점이 가까워졌다는 기대감이 엔화와 달러의 가치를 상승시킨 것으로 보입니다.

용어 설명 : 
*통화정책 : 한 나라의 화폐(돈)와 관련된 정책으로, 중앙은행이 화폐의 양이나 금리를 조절하여 경제를 안정시키고 성장을 촉진하는 정책입니다.
*재정환율 : 두 나라 통화 간의 환율을 간접적으로 계산한 환율입니다.
*트리거 : 경제에서 어떤 사건이 계기가 되어 급격한 변화를 일으키는 것을 말합니다."
230,12510,더존비즈온,p,E,Q,v,pEQv,[105],105,2024-07-26 06:00:00,"뉴스 풀이: 
문장1. 외국계 증권사 BofA(뱅크오브아메리카)가 한국의 AI(인공지능) 산업이 높은 잠재력을 가지고 있다고 평가했어요. 
문장2. 한국이 AI분야에서 선진국과 비교해도 높은 경쟁력을 가진 이유는 오랜시간 R&D(연구개발)에 공을 들여왔기 때문이라고 해요.
문장3. 한국은 OECD(경제협력개발기구) 국가 중에서도 GDP(국내총생산) 대비 R&D지출이 가장 높은 국가이며, AI관련 특허도 많이 보유하고 있어요.
문장4. 최근 한국 정부가 AI 경쟁력 강화를 위해 노력하고 있다는 점도 긍정적으로 평가했어요.
문장5. 국내 증권사들은 하반기에도 AI가 시장을 주도할 것으로 전망하며, 소프트웨어 부문에서는 더존비즈온, 한글과컴퓨터 등을 AI 최선호주로 추천했어요.

용어 설명 : 
*R&D(연구개발): 기업에서 제품이나 기술을 개발하기 위해 연구하는 활동을 말해요.
*GDP(국내총생산): 한 나라 안에서 경제 활동을 통해 생산된 모든 재화와 서비스의 시장 가치를 합한 것을 말해요.
*OECD(경제협력개발기구): 세계 경제 발전과 무역 확대를 위해 만들어진 국제 기구로, 현재 38개국이 가입되어 있어요.
*B2B(기업간거래): 기업과 기업이 제품이나 서비스를 사고 파는 것을 말해요.
*B2C(기업과 고객간 거래): 기업이 제품이나 서비스를 소비자에게 직접 판매하는 것을 말해요.
*CAPA(생산능력): 기업이 일정한 시간 안에 생산할 수 있는 최대 수량을 말해요.

해당 기사에서는 한국의 AI 산업의 미래를 긍정적으로 평가하고 있으며, AI 관련 최선호주를 추천하고 있어요."
233,145720,덴티움,p,E,Q,v,pEQv,"[169, 189]",189,2024-07-25 13:45:09,"뉴스 풀이: 
원·달러 환율이 장중 1388원까지 오르며 상승 폭을 확대했습니다. 달러화 약세와 엔화 급등에도 불구하고 원화 가치는 하락하고 있습니다. 간밤 뉴욕 증시 급락에 국내 증시도 위험선호 위축 분위기가 커지며 외국인 자금이 대거 이탈하며 환율이 상승 압력을 받고 있습니다.

25일 서울외국환중개에 따르면 이날 환율은 오후 1시 35분 기준 전 거래일 종가(1383.8원, 오후 3시 30분 기준)보다 2.65원 오른 1386.45원에서 거래되고 있습니다.

미국 경제 지표 부진과 엔화 강세로 인해 달러화는 약세입니다. 달러인덱스는 이날 새벽 12시 36분 기준 104.24를 기록하고 있습니다. 달러·엔 환율은 152엔대로 추가 하락하며 강세를 나타내고 있습니다.

국내 2분기 국내총생산(GDP)이 ‘역성장’하면서 원화에도 부담으로 작용하고 있습니다. 이날 한국은행에 따르면 2분기 GDP는 전분기 대비 0.2% 감소했습니다.

미국 2분기 GDP 성장률을 주시하고 있습니다. 시장에선 2.0% 성장을 전망해, 1분기(1.4%)와 비교해 확대될 것으로 보고 있습니다.

용어 설명 : 
*달러인덱스: 세계 주요 6개국 통화 대비 달러의 평균적 가치를 나타내는 지표
*GDP: 한 나라의 경제가 일정 기간 동안 생산한 재화와 용역의 시장 가치를 합산한 것으로, 경제 성장의 정도를 파악하는 데 사용됨
*역성장: 경제가 성장하지 못하고 감소하는 것을 의미함"
237,4140,동방,p,e,q,v,peqv,[42],42,2024-07-26 15:45:09,"뉴스 풀이 : 
쿠팡이 경쟁사인 티몬과 위메프의 결제 서비스 문제로 인해 반사이익을 얻을 것이라는 기대감으로 쿠팡 관련 주식들이 상승했습니다. 쿠팡의 물류를 담당하는 KCTC와 운송사 동방, 쿠팡과 계약을 맺은 결제 서비스 제공업체인 갤럭시아머니트리, 헥토파이낸셜, 다날 등이 모두 상승했습니다. 이는 쿠팡의 실적이 개선되면 이들 기업도 함께 이익을 얻을 것이라는 기대감 때문입니다.

용어 설명 :
*티몬 사태 : 싱가포르 기반 전자상거래 플랫폼 큐텐 계열 온라인 쇼핑몰인 티몬과 위메프에서 정산 지연 문제가 발생한 사건
*낙수효과 : 대기업이나 부유층의 소득이 증가하면 그 영향이 아래 계층으로 확산되어 전체적으로 경기가 활성화되는 효과
*e커머스 : 인터넷을 통해 상품을 판매하고 구매하는 전자상거래
*나스닥 : 미국의 장외 주식시장
*유가증권시장 : 국내 증권시장의 대표적인 시장으로, 코스피(KOSPI) 지수를 기준으로 운영됨
*종합물류기업 : 다양한 물류 서비스를 제공하는 기업
*월간활성이용자수(MAU) : 한 달 동안 해당 서비스를 이용한 이용자의 수"
239,5960,동부건설,P,e,q,V,PeqV,[745],745,2024-07-22 06:41:10,"뉴스 풀이: 
문장1. 주택경기가 회복되는 모습을 보이자 건설주가 꿈틀대고 있습니다. 금리 인하 기대감이 본격화되면서 바닥을 기던 주가가 반등하고 있습니다.
문장2. 한국거래소에 따르면 KRX 건설 지수는 이달(19일 기준) 6.04% 상승, 전체 지수 중 가장 가파른 상승 폭을 기록했습니다.
문장3. 개별 종목으로 살펴봐도 주가 상승세가 뚜렷했습니다. 특히 국내 주택 건설 사업을 주도하는 4대 대형주가 모두 올랐습니다.
문장4. 금리 인하 기대감에 건설 경기가 살아날 것이라는 전망이 나오고, 서울 주요 아파트 가격이 뚜렷한 상승세를 타면서 건설주가 강세를 보이고 있습니다.
문장5. 증권가에서도 긍정적인 전망을 내보이고 있지만, 주가 반등을 전반적인 업황 반등의 신호로 보긴 이르다는 의견도 있습니다.

용어 설명 : 
*KRX 건설 지수 : 한국거래소가 발표하는 건설업 관련 지수
*부동산 프로젝트파이낸싱(PF) : 부동산 개발사업의 미래 수익을 담보로 대출을 받는 것
*브리지론 : 사업 초기에 필요한 자금을 조달하기 위한 대출
*본PF : 사업이 본격적으로 진행될 때 필요한 자금을 조달하기 위한 대출"
240,26960,동서,p,e,Q,V,peQV,[94],94,2024-07-26 08:00:21,"뉴스 풀이 : 
미국 대선이 다가오는 가운데, 공화당 대선 후보인 도널드 트럼프 전 대통령이 '엔저 현상'을 비판하자 엔화 약세가 점차 완화되고 있습니다. 이에 엔화 반등에 대한 수혜를 기대할 수 있는 상장지수펀드(ETF)에 관심이 쏠리고 있습니다.

최근 한 달 동안 개인 투자자들은 미국 30년 국채에 투자하며 저평가된 엔화 상승에 베팅할 수 있는 'RISE 미국30년국채엔화노출(합성H)'을 129억원어치 순매수했습니다.

이는 트럼프 전 대통령이 엔화 약세를 문제삼자 엔화 가치가 상승세로 돌아선 영향으로 풀이됩니다.

그동안 '슈퍼 엔저'가 지속되면서 100엔당 850원대까지 추락했지만 해당 발언 이후 점차 오름세를 보이며 반등하기 시작했습니다. 전일 장중에는 911.13원까지 치솟았는데 이는 지난 2월 1일(912.82원) 이후 가장 높은 수준입니다.

업계에서는 각종 호재에 힘입어 엔화 강세가 일시적인 현상이 아닌 중장기적으로 이어질 것이란 전망이 우세합니다.

용어 설명 : 
*엔저 : 엔화의 가치가 떨어지는 현상
*상장지수펀드(ETF) : 특정 지수의 수익률을 추적하는 인덱스 펀드를 거래소에 상장시켜 주식처럼 거래할 수 있도록 한 펀드
*슈퍼 엔저 : 장기간 지속되는 엔화의 가치 하락 현상"
241,2210,동성제약,P,E,q,V,PEqV,[169],169,2024-07-25 15:57:12,"뉴스 풀이 : 
최근 원/달러 환율은 1,380원대 중후반대에서 방향성을 보이지 않고 있습니다. 연방기금금리 선물시장에 반영된 연준의 9월 기준금리 인하 기대는 90%를 넘긴 상황입니다. 이번 주에는 미국 2/4분기 실질 GDP 성장률과 PCE 물가가 발표될 예정입니다. 미국 GDP 성장률은 지난 분기보다 높아질 것으로 예상되며, PCE 물가는 5월보다 낮아질 것으로 보입니다. 이렇게 성장률이 나쁘지 않고 물가가 안정적으로 내려오는 것이 확인되면, 연준의 기준금리 인하 기대는 계속 지지 받을 것입니다. 

용어 설명 :
*연방기금금리 선물시장 : 연방기금금리의 미래 값을 예측하여 거래하는 시장
*OIS선도금리 : Overnight Index Swap의 약자로, 하루짜리 초단기 대출금리. 금융시장의 유동성을 파악하는 중요한 지표
*PCE 물가 : 개인소비지출 물가. 미국의 물가상승률을 나타내는 지표 중 하나"
255,163560,동일고무벨트,p,e,Q,v,peQv,"[420, 506, 849]",849,2024-07-23 14:38:52,"뉴스 풀이 : 미국 대선에서 도널드 트럼프 전 대통령이 우세한 상황이 되자, 우크라이나 재건 관련 주식들이 크게 올랐습니다. 트럼프 전 대통령이 당선되면 러시아와 우크라이나 전쟁을 끝낼 것이라는 기대감 때문입니다. 하지만 카멀라 해리스 미국 부통령이 트럼프 전 대통령과 여론조사에서 박빙을 보이자, 올랐던 주식들이 다시 내려갔습니다.

용어 설명 : 
*우크라이나 재건주 : 러시아-우크라이나 전쟁으로 인해 파괴된 우크라이나의 인프라 시설 등을 재건하는데 필요한 중장비나 건축 자재 등을 생산하는 기업들의 주식을 말합니다.

*트럼프 트레이드 : 미국 대선에서 도널드 트럼프 전 대통령이 승리할 경우, 주식 시장이 상승할 것이라는 기대감에 투자하는 것을 말합니다."
